player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
18253,"[94, 94, 86]",3,0,1,2,3,1,1,0,2,0,0,0,0,0,0,0,2,0,16,1,2,0,2,2,0,1,0,0,0
18254,"[64, 52, 63, 93, 24, 88]",6,0,2,4,0,0,0,0,0,3,3,1,37,0,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0
19687,[],0,0,0,0,1,0,2,1,2,10,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
21230,[82],1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,10,2,1,0,1,3,0,0,0,0,0
31564,[],0,0,0,0,0,0,3,4,0,1,0,3,1,1,0,0,9,2,0,7,1,0,1,2,0,0,0,0,0
31713,"[68, 79, 24, 72, 66, 66, 93]",7,0,0,7,0,0,0,3,0,0,4,5,0,0,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0
10193,"[83, 68, 47, 93]",4,0,0,4,1,0,0,8,1,3,8,9,0,0,0,0,11,10,0,6,1,0,0,0,0,0,0,0,0
15569,"[22, 31, 19, 60, 63, 31, 47, 77, 35, 17, 63]",11,0,0,11,0,0,0,0,0,0,0,0,1,16,21,2,1,0,1,0,0,0,0,0,0,0,0,0,0
15580,[26],1,0,1,0,12,3,8,1,0,1,0,0,0,0,0,0,1,0,31,0,5,0,5,1,0,0,1,0,0
18157,[72],1,0,0,1,1,0,1,9,0,0,3,1,0,0,0,0,8,0,0,1,4,0,0,1,0,1,0,0,0
19500,"[40, 91]",2,0,0,2,10,0,11,2,3,17,1,1,0,2,0,0,2,0,0,2,13,0,1,0,0,0,0,0,0
19592,"[87, 34, 62, 82, 64, 71, 43, 78]",8,0,1,7,2,0,1,0,2,26,0,1,11,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21556,"[82, 76]",2,0,0,2,2,0,3,7,0,0,1,0,0,0,0,0,7,2,2,5,3,0,1,0,0,0,0,0,0
22032,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
31563,[72],1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,1,2,0,0,0,0,0
31565,"[83, 90, 97]",2,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1,0,0,0,0,0
